gene,human_disease_association
LTB4R,Language disorder
LTB4R2,Language disorder
LTBP1,"Carpal tunnel syndrome, Allergic rhinitis, Osteoarthritis, Systemic lupus erythematosus"
LTBP2,"Endogenous depression, Bipolar disorder"
LTBP3,"open-angle glaucoma, Heart disease, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Acne, Osteoarthritis"
LTBP4,Kawasaki disease
LTBR,"Colorectal adenoma, Celiac disease, Primary biliary cholangitis, Juvenile rheumatoid arthritis, Ankylosing spondylitis, Crohn's disease, Colorectal cancer"
LTF,"Inflammatory bowel disease, Celiac disease, Rheumatoid arthritis, Ulcerative colitis"
LTK,"Abdominal obesity-metabolic syndrome 1, Allergic rhinitis"
LUC7L,Osteoporosis
LUZP2,Attention deficit hyperactivity disorder
LXN,Endogenous depression
LY6G5B,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Laryngeal squamous cell carcinoma, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease, Psoriatic arthritis, Systemic lupus erythematosus"
LY6G5C,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Laryngeal squamous cell carcinoma, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Rheumatoid arthritis, Autoimmune thyroiditis, Psoriatic arthritis, Systemic lupus erythematosus"
LY6G6C,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Rheumatoid arthritis, Psoriatic arthritis, Systemic lupus erythematosus"
LY6G6D,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Rheumatoid arthritis, Psoriatic arthritis, Systemic lupus erythematosus"
LY6G6F,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Rheumatoid arthritis, Psoriatic arthritis, Systemic lupus erythematosus"
LY6K,"Duodenal ulcer, Stomach carcinoma, Atrophic gastritis"
LY75,"Inflammatory bowel disease, Membranous glomerulonephritis"
LY86,"Endogenous depression, Vascular disease, Endometriosis"
LY9,"Inflammatory bowel disease, Ulcerative colitis, Crohn's disease"
LYL1,"Vascular disease, Bipolar disorder"
LYN,Systemic lupus erythematosus
LYNX1,"Duodenal ulcer, Stomach carcinoma, Atrophic gastritis"
LYPD2,"Duodenal ulcer, Stomach carcinoma, Atrophic gastritis"
LYPD5,"estrogen-receptor negative breast cancer, Breast carcinoma"
LYPLAL1,"Acne, Osteoarthritis, Obesity"
LYRM2,Heart disease
LYRM4,"Squamous cell carcinoma, Basal cell carcinoma"
LYRM7,"Inflammatory bowel disease, Crohn's disease"
LYRM9,"Ankylosing spondylitis, Psoriasis"
LYSMD1,"Heart disease, Osteoporosis, Myocardial infarction"
LYST,Systemic lupus erythematosus
LYZ,Attention deficit hyperactivity disorder
LZTR1,Testicular germ cell cancer
LZTS3,Hepatitis C
MAB21L1,Attention deficit hyperactivity disorder
MAB21L2,"Gallbladder disease, Cholelithiasis"
MACF1,"Peripheral artery disease, Abdominal obesity-metabolic syndrome 1"
MACROD1,"Hypertension, Vitiligo, Bipolar disorder"
MACROD2,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Autistic disorder, Bipolar disorder"
MAD1L1,"Idiopathic pulmonary fibrosis, Autism spectrum disorder, Prostate carcinoma, Attention deficit hyperactivity disorder, Heart disease, Bipolar I disorder, Endogenous depression, Testicular cancer, Testicular germ cell cancer, Gastroesophageal reflux disease"
MAD2L1,Heart disease
MADD,"Prostate carcinoma, open-angle glaucoma, Hypertension, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Cerebrovascular disease"
MAEA,Attention deficit hyperactivity disorder
MAF,"Alzheimer's disease, Endogenous depression, Bipolar disorder, Obesity"
MAFB,"Plantar fascial fibromatosis, Cleft lip"
MAFF,"Melanoma, Skin benign neoplasm, Skin melanoma"
MAFG,Attention deficit hyperactivity disorder
MAGEC1,Hodgkin's lymphoma
MAGEC2,Hodgkin's lymphoma
MAGEC3,Hodgkin's lymphoma
MAGI1,"Ileocolitis, Idiopathic scoliosis"
MAGI2,Attention deficit hyperactivity disorder
MAGI3,"Hypothyroidism, Autoimmune disease, Systemic scleroderma, Myositis, Juvenile rheumatoid arthritis, Autoimmune thyroiditis, Neuroblastoma, Ulcerative colitis, Crohn's disease, Skin melanoma, Systemic lupus erythematosus"
MAGOHB,Dental caries
MAL2,"Gallbladder disease, Basal cell carcinoma"
MALSU1,Endometriosis
MAML2,"Brain glioma, Cardiac arrest, Ulcerative colitis"
MAML3,"Attention deficit hyperactivity disorder, Endogenous depression, Congenital heart disease, Gastroesophageal reflux disease"
MAMSTR,"Inflammatory bowel disease, Gallbladder disease, non-alcoholic fatty liver disease, Cholelithiasis, Attention deficit hyperactivity disorder, Behcet's disease, Dental caries, Crohn's disease, Psoriasis, Colorectal cancer"
MAN2A1,Hypothyroidism
MAN2A2,"Autism spectrum disorder, Hypertension, Attention deficit hyperactivity disorder, Heart disease, Endogenous depression, Bipolar disorder, Breast carcinoma, Myocardial infarction"
MAN2B1,Pulmonary emphysema
MANBA,"Attention deficit hyperactivity disorder, Membranous glomerulonephritis, Primary biliary cholangitis, Endogenous depression, Systemic scleroderma, Allergic rhinitis, Ulcerative colitis"
MANEAL,Rheumatoid arthritis
MANF,Allergic rhinitis
MANSC4,Osteoarthritis
MAP1B,Heart disease
MAP1LC3A,"Melanoma, Skin carcinoma"
MAP1S,"Heart disease, Amyotrophic lateral sclerosis, Myocardial infarction"
MAP2K1,"Prostate carcinoma, Testicular germ cell cancer"
MAP2K2,Chronic lymphocytic leukemia
MAP2K5,"Restless legs syndrome, Attention deficit hyperactivity disorder, Bipolar disorder, Colorectal cancer"
MAP2K6,Osteoarthritis
MAP3K1,"non-alcoholic fatty liver disease, Heart disease, Breast carcinoma, Acne"
MAP3K11,"Heart disease, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Acne, Osteoarthritis"
MAP3K14,"Hypothyroidism, Endogenous depression, Allergic rhinitis, Systemic lupus erythematosus"
MAP3K6,Hypertension
MAP3K7,Attention deficit hyperactivity disorder
MAP3K7CL,Heart disease
MAP3K8,"Inflammatory bowel disease, Crohn's disease"
MAP3K9,Prostate carcinoma
MAP4,Heart disease
MAP4K2,"Attention deficit hyperactivity disorder, Gout"
MAP4K5,Plantar fascial fibromatosis
MAP6,Heart disease
MAP9,Hypertension
MAPK11,"Hypertension, Endogenous depression, Bipolar disorder, Skin melanoma"
MAPK12,"Hypertension, Endogenous depression, Bipolar disorder, Skin melanoma"
MAPK13,"Attention deficit hyperactivity disorder, Plantar wart, Rheumatoid arthritis"
MAPK14,"Attention deficit hyperactivity disorder, Plantar wart, Rheumatoid arthritis"
MAPK3,Hodgkin's lymphoma
MAPK4,Chronic lymphocytic leukemia
MAPK8IP1,"Attention deficit hyperactivity disorder, Vascular disease"
MAPK8IP2,"Diffuse large B-cell lymphoma, Sensorineural hearing loss, Chronic lymphocytic leukemia"
MAPK8IP3,"Atrial fibrillation, Epilepsy, Skin disease"
MAPKAP1,Attention deficit hyperactivity disorder
MAPKAPK2,"Inflammatory bowel disease, Behcet's disease, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
MAPKAPK3,Colorectal cancer
MAPKAPK5,"Esophageal carcinoma, Heart disease, Gout, Abdominal obesity-metabolic syndrome 1, Vascular disease, Hyperuricemia, Chronic obstructive pulmonary disease, Myocardial infarction, Psoriasis"
MAPRE1,"Inflammatory bowel disease, Nicotine dependence, Polycystic ovary syndrome"
MAPT,"Idiopathic pulmonary fibrosis, Androgenic alopecia, Atrial fibrillation, Attention deficit hyperactivity disorder, Endogenous depression, Chronic obstructive pulmonary disease, Osteoarthritis"
MARK2,"Endogenous depression, Bipolar disorder"
MARK3,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Heart disease, Endogenous depression, Bipolar disorder"
MARK4,Heart disease
MARS,Heart disease
MARS2,"Intracranial aneurysm, Rheumatoid arthritis"
MARVELD3,"Prostate carcinoma, Kidney disease"
MAS1L,"Cutaneous lupus erythematosus, Autism spectrum disorder, Endogenous depression, Esophagus adenocarcinoma, Barrett's esophagus"
MASP2,"Androgenic alopecia, Ewing sarcoma"
MAST2,Sensorineural hearing loss
MAST3,Systemic scleroderma
MAST4,Endometrioid ovary carcinoma
MAT2A,"Prostate carcinoma, Heart disease, Breast carcinoma, Ovarian carcinoma, Myocardial infarction"
MAT2B,Attention deficit hyperactivity disorder
MAU2,"non-alcoholic fatty liver disease, Prostate carcinoma, Alcoholic liver cirrhosis, Bipolar I disorder, Endogenous depression, Breast carcinoma, Ovarian carcinoma, Anorexia nervosa"
MBD1,Chronic lymphocytic leukemia
MBD2,Psoriasis
MBD3,Hodgkin's lymphoma
MBD5,"Atrial fibrillation, Focal epilepsy"
MBIP,Thyroid gland carcinoma
MBL2,Bone disease
MBLAC1,"Idiopathic pulmonary fibrosis, Chronic obstructive pulmonary disease"
MBNL1,Prostate carcinoma
MBOAT7,"Alcoholic liver cirrhosis, Takayasu's arteritis"
MBP,Thoracic aortic aneurysm
MBTD1,Heart disease
MC1R,"Sensorineural hearing loss, Vitiligo, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Photosensitivity disease, Neuroblastoma, Skin melanoma"
MC4R,"Heart disease, Abdominal obesity-metabolic syndrome 1"
MCAT,Prostate carcinoma
MCC,Hypertension
MCCD1,"Stevens-Johnson syndrome, Autism spectrum disorder, Hypertension, Carpal tunnel syndrome, Dengue hemorrhagic fever, Abdominal obesity-metabolic syndrome 1, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Liver disease, Cervical cancer, Myasthenia gravis, Allergic rhinitis, Human immunodeficiency virus infectious disease, Myositis, Acquired immunodeficiency syndrome, Autoimmune thyroiditis, Herpes zoster, Hodgkin's lymphoma, Ulcerative colitis, Crohn's disease, Psoriasis, Psoriatic arthritis"
MCF2,Vascular disease
MCF2L,"Idiopathic pulmonary fibrosis, Heart disease, Basal cell carcinoma, Skin melanoma"
MCHR1,"Cancer, Breast carcinoma"
MCHR2,Attention deficit hyperactivity disorder
MCL1,Osteoarthritis
MCM10,Paget's disease of bone
MCM3,Pancreatic carcinoma
MCM3AP,"Testicular cancer, Breast carcinoma, Testicular germ cell cancer"
MCM4,Attention deficit hyperactivity disorder
MCM5,"Ulcerative colitis, Multiple myeloma"
MCM7,"Idiopathic pulmonary fibrosis, Chronic obstructive pulmonary disease"
MCM8,Uterine fibroid
MCMDC2,Intracranial aneurysm
MCPH1,Leukopenia
MCRS1,"Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome"
MCTP1,Attention deficit hyperactivity disorder
MCU,Heart disease
MCUR1,Breast carcinoma
MDC1,"Cutaneous lupus erythematosus, Autism spectrum disorder, Prostate carcinoma, Age related macular degeneration, Endogenous depression, Chronic obstructive pulmonary disease, Lung carcinoma, Cervical cancer, Autoimmune thyroiditis, Psoriatic arthritis, Colorectal cancer"
MDFI,"Prostate carcinoma, Colorectal cancer"
MDGA2,Attention deficit hyperactivity disorder
MDH1,"Prostate carcinoma, Attention deficit hyperactivity disorder, Endogenous depression"
MDK,"Peripheral artery disease, Autism spectrum disorder, Endogenous depression, Anorexia nervosa"
MDM4,"Androgenic alopecia, estrogen-receptor negative breast cancer, Brain glioma, Prostate carcinoma, Attention deficit hyperactivity disorder, Breast carcinoma"
MDN1,Heart disease
MDP1,Language disorder
ME1,Bipolar disorder
ME3,Chronic obstructive pulmonary disease
MEAF6,Endometrial carcinoma
MECOM,"Idiopathic pulmonary fibrosis, Prostate carcinoma, Osteoporosis, Uterine fibroid, Glaucoma, Chronic obstructive pulmonary disease, Nasopharyngeal disease"
MECP2,"Celiac disease, Rheumatoid arthritis, Systemic lupus erythematosus"
MED11,"Sinusitis, Nasal cavity disease, Allergic rhinitis, Systemic lupus erythematosus"
MED12,Prostate carcinoma
MED13L,Skin melanoma
MED16,Primary biliary cholangitis
MED19,"Autism spectrum disorder, Endogenous depression"
MED21,Hodgkin's lymphoma
MED22,"Peripheral artery disease, Idiopathic scoliosis, Heart disease, Graves' disease, Malaria, Duodenal ulcer, Allergic rhinitis, Pancreatic carcinoma, Stomach carcinoma, Myocardial infarction"
MED24,"Chronic obstructive pulmonary disease, Systemic scleroderma, Allergic rhinitis"
MED27,Attention deficit hyperactivity disorder
MED28,Sensorineural hearing loss
MED30,"Leprosy, Epilepsy, Psoriasis"
MED4,Leukopenia
MED6,Prostate carcinoma
MED8,"Hypertension, Attention deficit hyperactivity disorder, Acute pancreatitis"
MEDAG,Swine influenza
MEF2B,"non-alcoholic fatty liver disease, Bipolar I disorder, Endogenous depression"
MEF2BNB,"non-alcoholic fatty liver disease, Bipolar I disorder, Endogenous depression"
MEF2C,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
MEFV,"Attention deficit hyperactivity disorder, Ankylosing spondylitis"
MEGF11,Hodgkin's lymphoma
MEGF6,"Hypertension, Heart disease"
MEIOB,Atrial fibrillation
MEIS1,"Restless legs syndrome, Idiopathic scoliosis, Prostate carcinoma, open-angle glaucoma, Sleep disorder"
MEIS3,Intracranial aneurysm
MEMO1,Androgenic alopecia
MEN1,"Attention deficit hyperactivity disorder, Gout"
MEOX1,Bone disease
MEOX2,Idiopathic scoliosis
MEPCE,"Age related macular degeneration, Kuhnt-Junius degeneration"
MEPE,"Osteoporosis, Abdominal aortic aneurysm"
MERTK,Heart disease
MESDC1,Heart disease
MESDC2,Heart disease
MESP1,Gallbladder disease
MESP2,Gallbladder disease
MET,"non-alcoholic fatty liver disease, Attention deficit hyperactivity disorder"
METAP1D,Breast carcinoma
METRN,"Bone disease, Attention deficit hyperactivity disorder"
METRNL,"Colorectal adenoma, Colorectal cancer"
METTL10,"Inflammatory bowel disease, Androgenic alopecia"
METTL15,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar disorder"
METTL16,"Autism spectrum disorder, Attention deficit hyperactivity disorder"
METTL18,Vascular disease
METTL22,Autoimmune thyroiditis
METTL2B,Reproductive system disease
METTL6,"Intestinal disease, Diverticulitis"
METTL7A,Endogenous depression
METTL7B,"Atrial fibrillation, Age related macular degeneration, Kuhnt-Junius degeneration"
METTL9,Endogenous depression
MEX3C,"Atrial fibrillation, Allergic rhinitis"
MEX3D,Hodgkin's lymphoma
MFAP1,Abdominal obesity-metabolic syndrome 1
MFAP2,Chronic obstructive pulmonary disease
MFAP3,Autism spectrum disorder
MFF,Chronic kidney disease
MFHAS1,"Endogenous depression, Chronic obstructive pulmonary disease"
MFI2,Acne
MFN1,Atrial fibrillation
MFN2,"Hypertension, Allergic rhinitis, Psoriasis"
MFSD12,Skin melanoma
MFSD4,Attention deficit hyperactivity disorder
MFSD5,Osteoporosis
MFSD6,Juvenile rheumatoid arthritis
MGA,Abdominal obesity-metabolic syndrome 1
MGAT4C,Attention deficit hyperactivity disorder
MGAT5,"Marginal zone B-cell lymphoma, Chronic lymphocytic leukemia, Attention deficit hyperactivity disorder, Primary biliary cholangitis, Systemic lupus erythematosus"
MGAT5B,Pulmonary emphysema
MGEA5,Atrial fibrillation
MGLL,Prostate carcinoma
MGME1,Autoimmune thyroiditis
MGMT,Anorexia nervosa
MGP,Osteoarthritis
MGST3,open-angle glaucoma
MIA,"Nicotine dependence, Kawasaki disease, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma"
MIA3,"Heart disease, Myocardial infarction"
MICAL3,"Atrial fibrillation, non-alcoholic fatty liver disease, Chronic obstructive pulmonary disease"
MICB,"Stevens-Johnson syndrome, Autism spectrum disorder, Hypertension, Carpal tunnel syndrome, Dengue hemorrhagic fever, Anterior uveitis, Abdominal obesity-metabolic syndrome 1, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Liver disease, Cervical cancer, Myasthenia gravis, Allergic rhinitis, Human immunodeficiency virus infectious disease, Myositis, Acquired immunodeficiency syndrome, Hepatocellular carcinoma, Autoimmune thyroiditis, Herpes zoster, Hodgkin's lymphoma, Ulcerative colitis, Crohn's disease, Psoriasis, Psoriatic arthritis"
MIDN,Colorectal cancer
MIEF1,"Autism spectrum disorder, Gilles de la Tourette syndrome"
MIEF2,Attention deficit hyperactivity disorder
MIEN1,"Inflammatory bowel disease, Marginal zone B-cell lymphoma, Primary biliary cholangitis, Atopic dermatitis, Bipolar disorder, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus"
MIER3,Breast carcinoma
MIF,Dilated cardiomyopathy
MIF4GD,"non-alcoholic fatty liver disease, Systemic scleroderma, Systemic lupus erythematosus"
MIIP,"Allergic rhinitis, Psoriasis"
MILR1,Myocardial infarction
MINK1,"Attention deficit hyperactivity disorder, Intracranial aneurysm, Systemic lupus erythematosus"
MINOS1,"Hypothyroidism, Hyperthyroidism"
MIOX,"Diffuse large B-cell lymphoma, Sensorineural hearing loss, Chronic lymphocytic leukemia"
MIP,"Skin disease, Psoriasis"
MIPEP,"Degenerative myopia, Lung carcinoma, Nasopharyngeal disease"
MISP,Autoimmune disease
MITF,"Heart disease, Skin melanoma"
MKL1,"estrogen-receptor negative breast cancer, Cholelithiasis, Heart disease, Uterine fibroid, Breast carcinoma"
MKL2,Androgenic alopecia
MKLN1,"Androgenic alopecia, Disease of cellular proliferation, Skin melanoma"
MKNK1,Chronic kidney disease
MKRN1,Attention deficit hyperactivity disorder
MKRN2,non-alcoholic fatty liver disease
MKRN2OS,non-alcoholic fatty liver disease
MLC1,Ulcerative colitis
MLEC,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder, Allergic rhinitis"
MLF1,"Attention deficit hyperactivity disorder, Endogenous depression"
MLH1,Colorectal cancer
MLH3,Heart disease
MLKL,"Testicular cancer, Testicular germ cell cancer, Multiple myeloma"
MLLT10,"Gallbladder disease, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Cancer, Breast carcinoma, Ovarian carcinoma, Gastroesophageal reflux disease"
MLLT11,"Attention deficit hyperactivity disorder, Osteoporosis, Neuroblastoma, Skin melanoma"
MLLT4,Kawasaki disease
MLLT6,Chronic obstructive pulmonary disease
MLN,"Celiac disease, Graves' disease, Allergic rhinitis, Gastroesophageal reflux disease, Hodgkin's lymphoma, Crohn's disease"
MLPH,Prostate carcinoma
MLST8,"Atrial fibrillation, Dilated cardiomyopathy"
MLX,Abdominal obesity-metabolic syndrome 1
MLXIP,"Allergic rhinitis, Osteoarthritis"
MLXIPL,"Disease of metabolism, Abdominal obesity-metabolic syndrome 1"
MMAB,Heart disease
MMACHC,Chronic obstructive pulmonary disease
MMEL1,"Diffuse large B-cell lymphoma, Celiac disease, Primary biliary cholangitis, Sclerosing cholangitis, Hypothyroidism, Allergic rhinitis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis"
MMP1,"Peripheral artery disease, Epilepsy"
MMP10,"Peripheral artery disease, Epilepsy"
MMP11,Dilated cardiomyopathy
MMP12,Peripheral artery disease
MMP14,"Prostate carcinoma, Hypertension, Plantar fascial fibromatosis"
MMP15,Chronic obstructive pulmonary disease
MMP16,"Autism spectrum disorder, Anorexia nervosa"
MMP2,"Sensorineural hearing loss, Hypospadias"
MMP20,"Prostate carcinoma, Epilepsy, Neuroblastoma"
MMP24,"Heart disease, Vascular disease, Melanoma, Skin carcinoma, Osteoarthritis, Ulcerative colitis"
MMP26,Malaria
MMP27,"Epilepsy, Neuroblastoma"
MMP3,Peripheral artery disease
MMP7,"Prostate carcinoma, Neuroblastoma"
MMP8,Epilepsy
MMP9,"Inflammatory bowel disease, Diffuse large B-cell lymphoma, Autism spectrum disorder, Celiac disease, Age related macular degeneration, Kuhnt-Junius degeneration, Attention deficit hyperactivity disorder, Heart disease, Kawasaki disease, Endogenous depression, Bipolar disorder, Abdominal aortic aneurysm, Hodgkin's lymphoma, Crohn's disease"
MMRN1,Lewy body dementia
MNAT1,Prostate carcinoma
MNS1,Chronic lymphocytic leukemia
MNT,"Autism spectrum disorder, Attention deficit hyperactivity disorder"
MOB1A,Attention deficit hyperactivity disorder
MOB2,Prostate carcinoma
MOB3A,Myocardial infarction
MOB3B,Amyotrophic lateral sclerosis
MOB3C,Chronic kidney disease
MOB4,"Autism spectrum disorder, Bipolar disorder, Allergic rhinitis"
MOBP,Amyotrophic lateral sclerosis
MOCOS,"Esophageal carcinoma, Squamous cell carcinoma"
MOCS3,"Prostate carcinoma, Bipolar disorder"
MOG,"Autism spectrum disorder, Endogenous depression, Lung carcinoma, Crohn's disease, Psoriatic arthritis, Pemphigus, Nasopharyngeal disease"
MOGAT3,Attention deficit hyperactivity disorder
MON1A,"Attention deficit hyperactivity disorder, Endogenous depression, Gastroesophageal reflux disease"
MORC1,Attention deficit hyperactivity disorder
MORC3,Nephrolithiasis
MORC4,Alcoholic pancreatitis
MORF4L1,"Heart disease, Basal cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Lung small cell carcinoma, Myocardial infarction"
MORN1,"Heart disease, Azoospermia"
MORN5,Lung squamous cell carcinoma
MOS,"Prostate carcinoma, Systemic lupus erythematosus"
MOSPD3,Autoimmune thyroiditis
MOV10,Hypertension
MOV10L1,"Endogenous depression, Bipolar disorder, Ulcerative colitis"
MPDU1,"triple-receptor negative breast cancer, Brain glioma, Atrial fibrillation, Uterine fibroid, Abdominal obesity-metabolic syndrome 1, Melanoma, Basal cell carcinoma, IgA glomerulonephritis, Glioblastoma, Esophagus squamous cell carcinoma, Neuroblastoma, Skin melanoma"
MPG,Glioblastoma
MPHOSPH6,"Prostate carcinoma, Skin melanoma"
MPHOSPH9,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Gilles de la Tourette syndrome, Vascular disease, Allergic rhinitis, Osteoarthritis, Anorexia nervosa"
MPI,"Celiac disease, Hypertension"
MPL,"Hypertension, Acute pancreatitis"
MPO,"Prostate carcinoma, Alzheimer's disease, Hypertension"
MPP2,Abdominal obesity-metabolic syndrome 1
MPP3,"Bone disease, Abdominal obesity-metabolic syndrome 1"
MPP6,"Endogenous depression, Bipolar disorder"
MPRIP,Multiple myeloma
MPST,Allergic rhinitis
MPV17,Crohn's disease
MPV17L,Testicular germ cell cancer
MPV17L2,"Hypothyroidism, Autoimmune thyroiditis"
MPZ,Allergic rhinitis
MPZL2,"Lung carcinoma, Lung non-small cell carcinoma, Lung adenocarcinoma"
MPZL3,"Lung carcinoma, Lung non-small cell carcinoma, Lung adenocarcinoma"
MR1,Creutzfeldt-Jakob disease
MRAS,"Heart disease, Myocardial infarction, Hodgkin's lymphoma"
MRC1,non-alcoholic fatty liver disease
MRE11A,Obstructive sleep apnea
MREG,Hodgkin's lymphoma
MRM1,"Gilles de la Tourette syndrome, Chronic kidney disease"
MROH1,Plantar fascial fibromatosis
MROH2A,"Gallbladder disease, Cholelithiasis"
MROH7,"Colorectal adenoma, Colorectal cancer"
MRPL10,Autoimmune thyroiditis
MRPL11,Attention deficit hyperactivity disorder
MRPL12,Corneal disease
MRPL20,"Inflammatory bowel disease, Ulcerative colitis"
MRPL24,"Hypothyroidism, Autoimmune thyroiditis"
MRPL28,"Osteoporosis, Hodgkin's lymphoma"
MRPL33,Bipolar I disorder
MRPL34,"estrogen-receptor negative breast cancer, triple-receptor negative breast cancer, Breast carcinoma, Ovarian carcinoma, Rheumatoid arthritis"
MRPL36,Prostate carcinoma
MRPL37,Hodgkin's lymphoma
MRPL4,"Inflammatory bowel disease, Hypothyroidism, Systemic scleroderma, Myositis, Juvenile rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis, Crohn's disease, Psoriasis, Systemic lupus erythematosus"
MRPL49,"Abdominal obesity-metabolic syndrome 1, Acne"
MRPL51,Celiac disease
MRPL52,"Prostate carcinoma, Plantar fascial fibromatosis"
MRPL55,Idiopathic scoliosis
MRPL9,"Inflammatory bowel disease, Attention deficit hyperactivity disorder, Heart disease, Allergic rhinitis, Myocardial infarction, Ulcerative colitis"
MRPS18B,"Swine influenza, Autism spectrum disorder, Prostate carcinoma, Graves' disease, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Psoriatic arthritis"
MRPS18C,Disease of cellular proliferation
MRPS21,Atopic dermatitis
MRPS22,"Androgenic alopecia, Reactive cutaneous fibrous lesion, Ovarian mucinous adenocarcinoma"
MRPS27,Inflammatory bowel disease
MRPS30,Attention deficit hyperactivity disorder
MRPS31,"Disease of cellular proliferation, Allergic rhinitis"
MRPS6,"Heart disease, Myocardial infarction"
MRPS7,"non-alcoholic fatty liver disease, Systemic scleroderma, Systemic lupus erythematosus"
MRRF,Lung squamous cell carcinoma
MRVI1,Heart disease
MSANTD1,Endogenous depression
MSANTD2,"Autism spectrum disorder, Attention deficit hyperactivity disorder"
MSH3,Attention deficit hyperactivity disorder
MSH5,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Heart disease, Eosinophilic esophagitis, Basal cell carcinoma, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Rheumatoid arthritis, Psoriatic arthritis, Systemic lupus erythematosus"
MSH6,Attention deficit hyperactivity disorder
MSI1,Attention deficit hyperactivity disorder
MSL1,Chronic obstructive pulmonary disease
MSL2,"Atrial fibrillation, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Bipolar disorder, Myocardial infarction"
MSLN,"Bone disease, Attention deficit hyperactivity disorder"
MSLNL,"Bone disease, Attention deficit hyperactivity disorder"
MSMB,Prostate carcinoma
MSRA,"Autism spectrum disorder, Endogenous depression, Esophagus adenocarcinoma, Autoimmune thyroiditis, Barrett's esophagus, Obesity"
MSRB1,Atrial fibrillation
MSRB3,Vascular disease
MST1,"Inflammatory bowel disease, Prostate carcinoma, Sclerosing cholangitis, Endogenous depression, Endometriosis, Ulcerative colitis, Crohn's disease"
MST1R,"Attention deficit hyperactivity disorder, Endogenous depression, Gastroesophageal reflux disease"
MSTO1,Stomach carcinoma
MSX1,"Allergic rhinitis, Cleft lip"
MSX2,Hypertension
MTA3,Hypospadias
MTAP,"Inflammatory bowel disease, Brain glioma, Prostate carcinoma, open-angle glaucoma, Heart disease, Melanoma, Basal cell carcinoma, Glioblastoma, Skin benign neoplasm, Breast carcinoma, Lung non-small cell carcinoma, Lung adenocarcinoma, Ovarian carcinoma, DOID:7061, Skin melanoma, Multiple myeloma, Acute lymphoblastic leukemia"
MTBP,Degenerative myopia
MTCH2,"Hypertension, Abdominal obesity-metabolic syndrome 1, Endogenous depression"
MTCL1,Chronic obstructive pulmonary disease
MTCP1,Vascular disease
MTERF2,Swine influenza
MTF1,"Rheumatoid arthritis, Autoimmune thyroiditis"
MTFR1,Attention deficit hyperactivity disorder
MTFR2,open-angle glaucoma
MTHFD1L,Heart disease
MTHFD2,Attention deficit hyperactivity disorder
MTHFR,"Hypertension, Psoriasis"
MTL5,Bone disease
MTMR11,"Idiopathic scoliosis, Breast carcinoma"
MTMR2,Brain glioma
